sec,mV,BPM
0.145,-0.055960313,0
0.146,-0.063306829,0
0.147,-0.070014519,0
0.148,-0.075125139,0
0.149,-0.078638691,0
0.15,-0.079596932,0
0.151,-0.078319277,0
0.152,-0.075125139,0
0.153,-0.070014519,0
0.154,-0.063945657,0
0.155,-0.057237968,0
0.156,-0.050849692,0
0.157,-0.045419658,0
0.158,-0.041906107,0
0.159,-0.040309038,0
0.16,-0.040947865,0
0.161,-0.043503176,0
0.162,-0.047655555,0
0.163,-0.053405003,0
0.164,-0.059793278,0
0.165,-0.066500967,0
0.166,-0.072569829,0
0.167,-0.077361035,0
0.168,-0.080555173,0
0.169,-0.082152242,0
0.17,-0.081194001,0
0.171,-0.078319277,0
0.172,-0.07352807,0
0.173,-0.067139795,0
0.174,-0.060112692,0
0.175,-0.052446761,0
0.176,-0.045100244,0
0.177,-0.039031383,0
0.178,-0.035198417,0
0.179,-0.033281935,0
0.18,-0.033920762,0
0.181,-0.0371149,0
0.182,-0.041906107,0
0.183,-0.048294382,0
0.184,-0.055321485,0
0.185,-0.062029174,0
0.186,-0.067778622,0
0.187,-0.072250415,0
0.188,-0.074805725,0
0.189,-0.074805725,0
0.19,-0.072889243,0
0.191,-0.068736864,0
0.192,-0.062987416,0
0.193,-0.056279726,0
0.194,-0.049572037,0
0.195,-0.043183762,0
0.196,-0.037753728,0
0.197,-0.033601349,0
0.198,-0.031365452,0
0.199,-0.031684866,0
0.2,-0.033920762,0
0.201,-0.038711969,0
0.202,-0.045100244,0
0.203,-0.052766175,0
0.204,-0.060112692,0
0.205,-0.067139795,0
0.206,-0.073208656,0
0.207,-0.077361035,0
0.208,-0.079277518,0
0.209,-0.078638691,0
0.21,-0.075444553,0
0.211,-0.070014519,0
0.212,-0.062668002,0
0.213,-0.05404383,0
0.214,-0.045100244,0
0.215,-0.036795486,0
0.216,-0.02944897,0
0.217,-0.024338349,0
0.218,-0.021144211,0
0.219,-0.020824798,0
0.22,-0.023060694,0
0.221,-0.027532487,0
0.222,-0.033920762,0
0.223,-0.041267279,0
0.224,-0.04893321,0
0.225,-0.056279726,0
0.226,-0.062668002,0
0.227,-0.067459209,0
0.228,-0.070333932,0
0.229,-0.070653346,0
0.23,-0.068736864,0
0.231,-0.064584485,0
0.232,-0.058515623,0
0.233,-0.05148852,0
0.234,-0.044142003,0
0.235,-0.0371149,0
0.236,-0.031684866,0
0.237,-0.028171314,0
0.238,-0.026893659,0
0.239,-0.028490728,0
0.24,-0.032323694,0
0.241,-0.038073141,0
0.242,-0.045419658,0
0.243,-0.053405003,0
0.244,-0.061390347,0
0.245,-0.068736864,0
0.246,-0.074486312,0
0.247,-0.078319277,0
0.248,-0.079916346,0
0.249,-0.078958104,0
0.25,-0.075444553,0
0.251,-0.069695105,0
0.252,-0.062668002,0
0.253,-0.054682658,0
0.254,-0.047016727,0
0.255,-0.039989624,0
0.256,-0.03455959,0
0.257,-0.031046038,0
0.258,-0.030407211,0
0.259,-0.03200428,0
0.26,-0.036476073,0
0.261,-0.042864348,0
0.262,-0.051169106,0
0.263,-0.059793278,0
0.264,-0.06841745,0
0.265,-0.07608338,0
0.266,-0.082471656,0
0.267,-0.086624035,0
0.268,-0.088540518,0
0.269,-0.088221104,0
0.27,-0.085026966,0
0.271,-0.080235759,0
0.272,-0.073208656,0
0.273,-0.065542726,0
0.274,-0.057557382,0
0.275,-0.050210865,0
0.276,-0.044142003,0
0.277,-0.03967021,0
0.278,-0.037753728,0
0.279,-0.038392555,0
0.28,-0.040628452,0
0.281,-0.045100244,0
0.282,-0.050210865,0
0.283,-0.055960313,0
0.284,-0.061709761,0
0.285,-0.066181553,0
0.286,-0.069375691,0
0.287,-0.070333932,0
0.288,-0.069695105,0
0.289,-0.066500967,0
0.29,-0.061390347,0
0.291,-0.055002071,0
0.292,-0.047655555,0
0.293,-0.040309038,0
0.294,-0.033281935,0
0.295,-0.027532487,0
0.296,-0.023380108,0
0.297,-0.021144211,0
0.298,-0.021144211,0
0.299,-0.023060694,0
0.3,-0.026893659,0
0.301,-0.03200428,0
0.302,-0.037753728,0
0.303,-0.043183762,0
0.304,-0.047974968,0
0.305,-0.051169106,0
0.306,-0.052127347,0
0.307,-0.050849692,0
0.308,-0.046697313,0
0.309,-0.03967021,0
0.31,-0.030726625,0
0.311,-0.02018597,0
0.312,-0.008687074,0
0.313,0.002492408,0
0.314,0.012713648,0
0.315,0.021976648,0
0.316,0.029003751,0
0.317,0.033794957,0
0.318,0.036030854,0
0.319,0.03571144,0
0.32,0.033475544,0
0.321,0.029642578,0
0.322,0.025170786,0
0.323,0.020698993,0
0.324,0.017185441,0
0.325,0.015268959,0
0.326,0.014949545,0
0.327,0.016866027,0
0.328,0.021018407,0
0.329,0.027406682,0
0.33,0.035072613,0
0.331,0.044016198,0
0.332,0.053598611,0
0.333,0.062542197,0
0.334,0.070846955,0
0.335,0.077235231,0
0.336,0.081068196,0
0.337,0.081707023,0
0.338,0.079471127,0
0.339,0.074041093,0
0.34,0.066375162,0
0.341,0.057112163,0
0.342,0.047210336,0
0.343,0.037627923,0
0.344,0.029323165,0
0.345,0.022296062,0
0.346,0.017185441,0
0.347,0.01367189,0
0.348,0.012394235,0
0.349,0.012713648,0
0.35,0.014630131,0
0.351,0.017504855,0
0.352,0.020698993,0
0.353,0.023254303,0
0.354,0.024212544,0
0.355,0.023254303,0
0.356,0.020060165,0
0.357,0.01367189,0
0.358,0.00440889,0
