Time,"CH 1, ECG","CH40, Heart Rate"
sec,mV,BPM
0,0.005964741,0
0.001,0.005964741,0
0.002,0.004368537,0
0.003,-0.000420075,0
0.004,-0.009678059,0
0.005,-0.022766932,0
0.006,-0.038409732,0
0.007,-0.055010254,0
0.008,-0.071291536,0
0.009,-0.086295854,0
0.01,-0.099065487,0
0.011,-0.109919675,0
0.012,-0.118219936,0
0.013,-0.124923993,0
0.014,-0.129393364,0
0.015,-0.131947291,0
0.016,-0.132266532,0
0.017,-0.130989568,0
0.018,-0.128116401,0
0.019,-0.124285511,0
0.02,-0.119496899,0
0.021,-0.114708287,0
0.022,-0.110238915,0
0.023,-0.106727266,0
0.024,-0.10417334,0
0.025,-0.103534858,0
0.026,-0.103854099,0
0.027,-0.105769544,0
0.028,-0.108323471,0
0.029,-0.111515879,0
0.03,-0.114069805,0
0.031,-0.115346768,0
0.032,-0.115027528,0
0.033,-0.11183512,0
0.034,-0.106088785,0
0.035,-0.096830801,0
0.036,-0.085018891,0
0.037,-0.070653054,0
0.038,-0.054371773,0
0.039,-0.03777125,0
0.04,-0.021489969,0
0.041,-0.007124132,0
0.042,0.004368537,0
0.043,0.012668798,0
0.044,0.01713817,0
0.045,0.01713817,0
0.046,0.012988039,0
0.047,0.00532626,0
0.048,-0.005847169,0
0.049,-0.018616801,0
0.05,-0.031705675,0
0.051,-0.043836826,0
0.052,-0.053733291,0
0.053,-0.060118107,0
0.054,-0.062672034,0
0.055,-0.060756589,0
0.056,-0.054691014,0
0.057,-0.044475307,0
0.058,-0.030747952,0
0.059,-0.015424393,0
0.06,0.000856888,0
0.061,0.015861207,0
0.062,0.029588562,0
0.063,0.040442749,0
0.064,0.047466047,0
0.065,0.050019974,0
0.066,0.04842377,0
0.067,0.042677435,0
0.068,0.033419451,0
0.069,0.021926782,0
0.07,0.00947639,0
0.071,-0.002974001,0
0.072,-0.01414743,0
0.073,-0.022766932,0
0.074,-0.028194026,0
0.075,-0.029151748,0
0.076,-0.02595934,0
0.077,-0.018936042,0
0.078,-0.008720336,0
0.079,0.003730056,0
0.08,0.016499688,0
0.081,0.029588562,0
0.082,0.041400472,0
0.083,0.050658456,0
0.084,0.056724031,0
0.085,0.058639476,0
0.086,0.057043272,0
0.087,0.051616178,0
0.088,0.043315917,0
0.089,0.033100211,0
0.09,0.021926782,0
0.091,0.011391835,0
0.092,0.002453092,0
0.093,-0.004570206,0
0.094,-0.008081855,0
0.095,-0.008081855,0
0.096,-0.003931724,0
0.097,0.004049296,0
0.098,0.014903484,0
0.099,0.028311598,0
0.1,0.042677435,0
0.101,0.057043272,0
0.102,0.069493664,0
0.103,0.079070888,0
0.104,0.085455704,0
0.105,0.08769039,0
0.106,0.086094186,0
0.107,0.080667092,0
0.108,0.072366831,0
0.109,0.062151125,0
0.11,0.050977696,0
0.111,0.040442749,0
0.112,0.031184766,0
0.113,0.024799949,0
0.114,0.021607541,0
0.115,0.022884505,0
0.116,0.027992358,0
0.117,0.037250341,0
0.118,0.050019974,0
0.119,0.065024292,0
0.12,0.081305574,0
0.121,0.097586855,0
0.122,0.112591174,0
0.123,0.125680047,0
0.124,0.135257272,0
0.125,0.141322847,0
0.126,0.142919051,0
0.127,0.141003606,0
0.128,0.135895753,0
0.129,0.128872455,0
0.13,0.120572194,0
0.131,0.112910415,0
0.132,0.106525598,0
0.133,0.102694708,0
0.134,0.102056227,0
0.135,0.105248635,0
0.136,0.112271933,0
0.137,0.123126121,0
0.138,0.137172716,0
0.139,0.153453998,0
0.14,0.171012243,0
0.141,0.188570488,0
0.142,0.204851769,0
0.143,0.218259884,0
0.144,0.228156349,0
0.145,0.234221924,0
0.146,0.235818128,0
0.147,0.233583443,0
0.148,0.227837108,0
0.149,0.219536847,0
0.15,0.209959622,0
0.151,0.200063157,0
0.152,0.191124414,0
0.153,0.184101116,0
0.154,0.179631745,0
0.155,0.178993263,0
0.156,0.182504912,0
0.157,0.18952821,0
0.158,0.199424675,0
0.159,0.211555826,0
0.16,0.224006218,0
0.161,0.236137369,0
