Time,"CH 1, ECG","CH40, Heart Rate"
sec,mV,BPM
0,0.006278191,0
0.001,0.006278191,0
0.002,0.006278191,0
0.003,0.005639729,0
0.004,0.004043573,0
0.005,0.001489723,0
0.006,-0.002341051,0
0.007,-0.007448751,0
0.008,-0.013194913,0
0.009,-0.019898768,0
0.01,-0.027241086,0
0.011,-0.034902635,0
0.012,-0.042883415,0
0.013,-0.050864196,0
0.014,-0.058206513,0
0.015,-0.0652296,0
0.016,-0.071294993,0
0.017,-0.076083461,0
0.018,-0.079914236,0
0.019,-0.082468086,0
0.02,-0.08374501,0
0.021,-0.08374501,0
0.022,-0.082787317,0
0.023,-0.080871929,0
0.024,-0.07831808,0
0.025,-0.07576423,0
0.026,-0.072891149,0
0.027,-0.070337299,0
0.028,-0.068421912,0
0.029,-0.067144987,0
0.03,-0.067144987,0
0.031,-0.068102681,0
0.032,-0.070337299,0
0.033,-0.073529612,0
0.034,-0.077041155,0
0.035,-0.080871929,0
0.036,-0.084383473,0
0.037,-0.087575785,0
0.038,-0.089810403,0
0.039,-0.091406559,0
0.04,-0.091725791,0
0.041,-0.091406559,0
0.042,-0.090129635,0
0.043,-0.087895016,0
0.044,-0.085341166,0
0.045,-0.082468086,0
0.046,-0.079914236,0
0.047,-0.077041155,0
0.048,-0.075125768,0
0.049,-0.073529612,0
0.05,-0.072891149,0
0.051,-0.072891149,0
0.052,-0.074168074,0
0.053,-0.076402693,0
0.054,-0.078956542,0
0.055,-0.082468086,0
0.056,-0.085660398,0
0.057,-0.089171941,0
0.058,-0.092364253,0
0.059,-0.094598872,0
0.06,-0.096195028,0
0.061,-0.09683349,0
0.062,-0.096514259,0
0.063,-0.095556565,0
0.064,-0.093960409,0
0.065,-0.092045022,0
0.066,-0.090448866,0
0.067,-0.08885271,0
0.068,-0.087575785,0
0.069,-0.086937323,0
0.07,-0.086937323,0
0.071,-0.087575785,0
0.072,-0.08885271,0
0.073,-0.090768097,0
0.074,-0.093002716,0
0.075,-0.095556565,0
0.076,-0.098110415,0
0.077,-0.100345033,0
0.078,-0.101621958,0
0.079,-0.102579652,0
0.08,-0.102579652,0
0.081,-0.101621958,0
0.082,-0.100025802,0
0.083,-0.097791184,0
0.084,-0.095237334,0
0.085,-0.092683484,0
0.086,-0.090129635,0
0.087,-0.088214247,0
0.088,-0.08629886,0
0.089,-0.085341166,0
0.09,-0.085341166,0
0.091,-0.085979629,0
0.092,-0.087575785,0
0.093,-0.089491172,0
0.094,-0.092045022,0
0.095,-0.09427964,0
0.096,-0.096514259,0
0.097,-0.098748877,0
0.098,-0.100025802,0
0.099,-0.100345033,0
0.1,-0.09938734,0
0.101,-0.097791184,0
0.102,-0.095237334,0
0.103,-0.092045022,0
0.104,-0.088533479,0
0.105,-0.085021935,0
0.106,-0.081829623,0
0.107,-0.078637311,0
0.108,-0.076083461,0
0.109,-0.074168074,0
0.11,-0.07321038,0
0.111,-0.073529612,0
0.112,-0.075125768,0
0.113,-0.077679617,0
0.114,-0.080552698,0
0.115,-0.08374501,0
0.116,-0.086618091,0
0.117,-0.089491172,0
0.118,-0.092045022,0
0.119,-0.093641178,0
0.12,-0.094598872,0
0.121,-0.094918103,0
0.122,-0.09427964,0
0.123,-0.093002716,0
0.124,-0.091087328,0
0.125,-0.08885271,0
0.126,-0.08629886,0
0.127,-0.084383473,0
0.128,-0.082787317,0
0.129,-0.081829623,0
0.13,-0.081510392,0
0.131,-0.082468086,0
0.132,-0.08374501,0
0.133,-0.085979629,0
0.134,-0.08885271,0
0.135,-0.091725791,0
0.136,-0.094918103,0
0.137,-0.098110415,0
0.138,-0.100664265,0
0.139,-0.102260421,0
0.14,-0.103218114,0
0.141,-0.103218114,0
0.142,-0.102260421,0
0.143,-0.100345033,0
0.144,-0.098110415,0
0.145,-0.095237334,0
0.146,-0.093002716,0
0.147,-0.090768097,0
0.148,-0.08885271,0
0.149,-0.087575785,0
0.15,-0.086937323,0
0.151,-0.086618091,0
0.152,-0.087256554,0
0.153,-0.088214247,0
0.154,-0.089810403,0
0.155,-0.091725791,0
0.156,-0.093641178,0
0.157,-0.095237334,0
0.158,-0.096514259,0
0.159,-0.09683349,0
0.16,-0.096195028,0
0.161,-0.095237334,0
0.162,-0.093321947,0
0.163,-0.091406559,0
0.164,-0.088533479,0
0.165,-0.085979629,0
0.166,-0.083106548,0
0.167,-0.080871929,0
0.168,-0.079275773,0
0.169,-0.07831808,0
0.17,-0.077998849,0
0.171,-0.078637311,0
0.172,-0.079914236,0
0.173,-0.081829623,0
0.174,-0.08374501,0
0.175,-0.085660398,0
0.176,-0.087575785,0
0.177,-0.08885271,0
0.178,-0.089810403,0
0.179,-0.089810403,0
0.18,-0.08885271,0
0.181,-0.086937323,0
0.182,-0.084383473,0
0.183,-0.080871929,0
0.184,-0.076721924,0
0.185,-0.072571918,0
0.186,-0.068102681,0
0.187,-0.064271906,0
0.188,-0.060760363,0
0.189,-0.058206513,0
0.19,-0.056291126,0
0.191,-0.055333433,0
0.192,-0.055333433,0
0.193,-0.055652664,0
0.194,-0.056929589,0
0.195,-0.057887282,0
0.196,-0.059164207,0
0.197,-0.060121901,0
0.198,-0.060441132,0
0.199,-0.060121901,0
0.2,-0.059164207,0
0.201,-0.05724882,0
0.202,-0.055014201,0
0.203,-0.05214112,0
0.204,-0.048948808,0
0.205,-0.045756496,0
0.206,-0.042883415,0
0.207,-0.040329566,0
0.208,-0.038414178,0
0.209,-0.037137253,0
0.21,-0.036498791,0
0.211,-0.037137253,0
0.212,-0.038414178,0
0.213,-0.040648797,0
0.214,-0.043521878,0
0.215,-0.046394959,0
0.216,-0.049268039,0
0.217,-0.051502658,0
0.218,-0.053737276,0
0.219,-0.055014201,0
0.22,-0.055333433,0
0.221,-0.05469497,0
0.222,-0.053098814,0
0.223,-0.050544964,0
0.224,-0.047991115,0
0.225,-0.045118034,0
0.226,-0.042564184,0
0.227,-0.040010334,0
0.228,-0.037775716,0
0.229,-0.03617956,0
0.23,-0.034902635,0
0.231,-0.034902635,0
0.232,-0.035541097,0
0.233,-0.037137253,0
0.234,-0.039052641,0
0.235,-0.041287259,0
0.236,-0.043521878,0
0.237,-0.045756496,0
0.238,-0.047352652,0
0.239,-0.048629577,0
0.24,-0.048629577,0
0.241,-0.048310346,0
0.242,-0.047671883,0
0.243,-0.046394959,0
0.244,-0.044479571,0
0.245,-0.042564184,0
0.246,-0.040329566,0
0.247,-0.038733409,0
0.248,-0.037456485,0
0.249,-0.036818022,0
0.25,-0.036498791,0
0.251,-0.036498791,0
0.252,-0.036818022,0
0.253,-0.037775716,0
0.254,-0.038733409,0
0.255,-0.039371872,0
0.256,-0.040010334,0
0.257,-0.039691103,0
0.258,-0.039052641,0
0.259,-0.037137253,0
0.26,-0.034583404,0
0.261,-0.03107186,0
0.262,-0.026602623,0
0.263,-0.021494924,0
0.264,-0.016067993,0
0.265,-0.010960294,0
0.266,-0.006171826,0
0.267,-0.00202182,0
0.268,0.001489723,0
0.269,0.004043573,0
0.27,0.005639729,0
0.271,0.006278191,0
0.272,0.006597423,0
0.273,0.006278191,0
0.274,0.006278191,0
0.275,0.005639729,0
0.276,0.005320498,0
0.277,0.005639729,0
0.278,0.006597423,0
0.279,0.008193579,0
0.28,0.01106666,0
0.281,0.014897434,0
0.282,0.019366671,0
0.283,0.024793602,0
0.284,0.030539764,0
0.285,0.036605157,0
0.286,0.042351318,0
0.287,0.047778249,0
0.288,0.052885948,0
0.289,0.057035954,0
0.29,0.059909035,0
0.291,0.061505191,0
0.292,0.061824422,0
0.293,0.061505191,0
0.294,0.060228266,0
0.295,0.05863211,0
0.296,0.057035954,0
0.297,0.055759029,0
0.298,0.055439798,0
0.299,0.055759029,0
0.3,0.057355185,0
0.301,0.060228266,0
0.302,0.06373981,0
0.303,0.068209047,0
0.304,0.072997515,0
0.305,0.078105214,0
0.306,0.082893682,0
0.307,0.087682151,0
0.308,0.091832156,0
0.309,0.0953437,0
0.31,0.097897549,0
0.311,0.099493705,0
0.312,0.100132168,0
0.313,0.099493705,0
0.314,0.097897549,0
0.315,0.095662931,0
0.316,0.092470619,0
0.317,0.089278307,0
0.318,0.085766763,0
0.319,0.081935989,0
0.32,0.078424445,0
0.321,0.075232133,0
0.322,0.072359052,0
0.323,0.069805203,0
0.324,0.067251353,0
0.325,0.064697503,0
0.326,0.061824422,0
0.327,0.058951341,0
0.328,0.055120567,0
0.329,0.050970561,0
