sec,mV,BPM
0,0.007218428,0
0.001,0.007218428,0
0.002,0.006260821,0
0.003,0.002749595,0
0.004,-0.004272858,0
0.005,-0.01512574,0
0.006,-0.029809051,0
0.007,-0.047365183,0
0.008,-0.067794137,0
0.009,-0.090457508,0
0.01,-0.115036093,0
0.011,-0.140891488,0
0.012,-0.16770449,0
0.013,-0.194836694,0
0.014,-0.221649697,0
0.015,-0.247185889,0
0.016,-0.271126069,0
0.017,-0.292193428,0
0.018,-0.310387965,0
0.019,-0.324752074,0
0.02,-0.334966551,0
0.021,-0.341031396,0
0.022,-0.343585016,0
0.023,-0.342627408,0
0.024,-0.339116182,0
0.025,-0.333689741,0
0.026,-0.32698649,0
0.027,-0.32028324,0
0.028,-0.313899192,0
0.029,-0.308153549,0
0.03,-0.30432312,0
0.031,-0.302088703,0
0.032,-0.3017695,0
0.033,-0.30304631,0
0.034,-0.305599929,0
0.035,-0.309430358,0
0.036,-0.313579989,0
0.037,-0.317729621,0
0.038,-0.32156005,0
0.039,-0.324432871,0
0.04,-0.326348086,0
0.041,-0.326667288,0
0.042,-0.325709681,0
0.043,-0.323475264,0
0.044,-0.320602442,0
0.045,-0.316772013,0
0.046,-0.312941585,0
0.047,-0.309430358,0
0.048,-0.306876739,0
0.049,-0.304961524,0
0.05,-0.304642322,0
0.051,-0.305280727,0
0.052,-0.306876739,0
0.053,-0.309111156,0
0.054,-0.311664775,0
0.055,-0.314856799,0
0.056,-0.317410418,0
0.057,-0.319325633,0
0.058,-0.32028324,0
0.059,-0.319964038,0
0.06,-0.318048823,0
0.061,-0.314856799,0
0.062,-0.310707168,0
0.063,-0.305919132,0
0.064,-0.300811893,0
0.065,-0.295704655,0
0.066,-0.291235821,0
0.067,-0.287724595,0
0.068,-0.285170975,0
0.069,-0.283894166,0
0.07,-0.284532571,0
0.071,-0.286447785,0
0.072,-0.289959011,0
0.073,-0.294747047,0
0.074,-0.300173488,0
0.075,-0.306238334,0
0.076,-0.311983977,0
0.077,-0.317410418,0
0.078,-0.32156005,0
0.079,-0.324752074,0
0.08,-0.326667288,0
0.081,-0.32698649,0
0.082,-0.326348086,0
0.083,-0.324752074,0
0.084,-0.322517657,0
0.085,-0.32028324,0
0.086,-0.318048823,0
0.087,-0.316452811,0
0.088,-0.315814406,0
0.089,-0.316452811,0
0.09,-0.318368026,0
0.091,-0.321240847,0
0.092,-0.325709681,0
0.093,-0.331136122,0
0.094,-0.336881765,0
0.095,-0.342627408,0
0.096,-0.347734647,0
0.097,-0.351565076,0
0.098,-0.354118695,0
0.099,-0.3547571,0
0.1,-0.353799493,0
0.101,-0.351245873,0
0.102,-0.347734647,0
0.103,-0.343265813,0
0.104,-0.338477777,0
0.105,-0.333689741,0
0.106,-0.328901705,0
0.107,-0.324752074,0
0.108,-0.32156005,0
