Time,"CH 1, ECG","CH40, Heart Rate"
sec,mV,BPM
0,0.006278191,0
0.001,0.006278191,0
0.002,0.005320498,0
0.003,0.001808954,0
0.004,-0.00457567,0
0.005,-0.014152606,0
0.006,-0.025325699,0
0.007,-0.037456485,0
0.008,-0.048629577,0
0.009,-0.057568051,0
0.01,-0.062994982,0
0.011,-0.063952675,0
0.012,-0.060760363,0
0.013,-0.052779583,0
0.014,-0.040010334,0
0.015,-0.022771849,0
0.016,-0.001064126,0
0.017,0.024155139,0
0.018,0.052566717,0
0.019,0.083851376,0
0.02,0.116732191,0
0.021,0.150570699,0
0.022,0.185366901,0
0.023,0.220801566,0
0.024,0.256236231,0
0.025,0.291670895,0
0.026,0.32710556,0
0.027,0.363497918,0
0.028,0.40084797,0
0.029,0.440113409,0
0.03,0.481294235,0
0.031,0.525028911,0
0.032,0.571636668,0
0.033,0.621436737,0
0.034,0.675386812,0
0.035,0.73284843,0
0.036,0.793502361,0
0.037,0.855433216,0
0.038,0.916406377,0
0.039,0.972910302,0
0.04,1.02239114,0
0.041,1.061337348,0
0.042,1.087514307,0
0.043,1.098687399,0
0.044,1.093260469,0
0.045,1.070914284,0
0.046,1.031648845,0
0.047,0.976421845,0
0.048,0.907787135,0
0.049,0.827979331,0
0.05,0.739871517,0
0.051,0.647294465,0
0.052,0.553121258,0
0.053,0.461182669,0
0.054,0.374351779,0
0.055,0.29550167,0
0.056,0.226547728,0
0.057,0.168447647,0
0.058,0.122478353,0
0.059,0.087362919,0
0.06,0.062143654,0
0.061,0.045543631,0
0.062,0.035647463,0
0.063,0.030539764,0
0.064,0.027666683,0
0.065,0.025751295,0
0.066,0.023197446,0
0.067,0.019685902,0
0.068,0.014258972,0
0.069,0.006916654,0
0.07,-0.001064126,0
0.071,-0.009364138,0
0.072,-0.016706456,0
0.073,-0.022133386,0
0.074,-0.024048774,0
0.075,-0.021814155,0
0.076,-0.0151103,0
0.077,-0.003937207,0
0.078,0.01106666,0
0.079,0.028943607,0
0.08,0.048416711,0
0.081,0.067570584,0
0.082,0.08480907,0
0.083,0.098536012,0
0.084,0.107474486,0
0.085,0.110666798,0
0.086,0.107793717,0
0.087,0.099174474,0
0.088,0.085766763,0
0.089,0.068528278,0
0.09,0.049374405,0
0.091,0.02958207,0
0.092,0.011385891,0
0.093,-0.003617976,0
0.094,-0.014471837,0
0.095,-0.020217999,0
0.096,-0.019898768,0
0.097,-0.013833375,0
0.098,-0.002660283,0
0.099,0.012343584,0
0.1,0.029901301,0
0.101,0.048416711,0
0.102,0.065655197,0
0.103,0.080339833,0
0.104,0.090555231,0
0.105,0.095024468,0
0.106,0.093747544,0
0.107,0.086724457,0
0.108,0.074593671,0
0.109,0.05863211,0
0.11,0.040435931,0
0.111,0.02160129,0
0.112,0.004362804,0
0.113,-0.0100026,0
0.114,-0.019898768,0
0.115,-0.024687236,0
0.116,-0.023729543,0
0.117,-0.017025687,0
0.118,-0.005533363,0
0.119,0.009470504,0
0.12,0.027347451,0
0.121,0.045543631,0
0.122,0.063101347,0
0.123,0.077785983,0
0.124,0.088320613,0
0.125,0.093747544,0
0.126,0.093428312,0
0.127,0.087682151,0
0.128,0.077147521,0
0.129,0.063101347,0
0.13,0.046820555,0
0.131,0.030539764,0
0.132,0.015216665,0
0.133,0.003405111,0
0.134,-0.004894901,0
0.135,-0.008087213,0
0.136,-0.005533363,0
0.137,0.002128186,0
0.138,0.014258972,0
0.139,0.029901301,0
0.14,0.047459018,0
0.141,0.064697503,0
0.142,0.080339833,0
0.143,0.093109081,0
0.144,0.101089861,0
0.145,0.103962942,0
0.146,0.101089861,0
0.147,0.09278985,0
0.148,0.080020601,0
0.149,0.064059041,0
0.15,0.046501324,0
0.151,0.028943607,0
0.152,0.013620509,0
0.153,0.001808954,0
0.154,-0.005214132,0
0.155,-0.006810288,0
0.156,-0.002341051,0
0.157,0.007235885,0
0.158,0.02160129,0
0.159,0.039478237,0
0.16,0.059270573,0
0.161,0.079062908,0
0.162,0.096939856,0
0.163,0.111624491,0
0.164,0.121520659,0
0.165,0.125989896,0
0.166,0.124712971,0
0.167,0.117689884,0
0.168,0.106516792,0
0.169,0.091832156,0
0.17,0.075232133,0
0.171,0.05863211,0
0.172,0.043947474,0
0.173,0.03213592,0
0.174,0.025112833,0
0.175,0.023197446,0
0.176,0.026389758,0
0.177,0.034689769,0
0.178,0.046820555,0
0.179,0.062143654,0
0.18,0.079062908,0
0.181,0.0953437,0
0.182,0.109709104,0
0.183,0.120562965,0
0.184,0.12694759,0
0.185,0.127905283,0
0.186,0.123436046,0
0.187,0.114178341,0
0.188,0.10077063,0
0.189,0.085128301,0
0.19,0.068528278,0
0.191,0.052566717,0
0.192,0.038839775,0
0.193,0.029262839,0
0.194,0.024474371,0
0.195,0.025432064,0
0.196,0.03213592,0
0.197,0.043947474,0
0.198,0.059909035,0
0.199,0.078424445,0
0.2,0.098216781,0
0.201,0.116732191,0
0.202,0.132693751,0
0.203,0.144824537,0
0.204,0.151847624,0
0.205,0.153124549,0
0.206,0.148974543,0
0.207,0.139397607,0
0.208,0.125670665,0
0.209,0.109389873,0
0.21,0.091832156,0
0.211,0.074912902,0
0.212,0.060866729,0
0.213,0.05065133,0
0.214,0.045543631,0
0.215,0.046501324,0
0.216,0.052885948,0
0.217,0.064697503,0
0.218,0.080978295,0
0.219,0.099493705,0
0.22,0.118966809,0
0.221,0.137801451,0
0.222,0.154082243,0
0.223,0.166213029,0
0.224,0.173236115,0
0.225,0.174832271,0
0.226,0.171001497,0
0.227,0.162382254,0
0.228,0.149932237,0
0.229,0.13492837,0
0.23,0.118966809,0
0.231,0.103962942,0
0.232,0.091512925,0
0.233,0.082893682,0
0.234,0.079382139,0
0.235,0.081935989,0
0.236,0.089916769,0
0.237,0.10332448,0
0.238,0.120562965,0
0.239,0.140036069,0
0.24,0.160786098,0
0.241,0.179939971,0
0.242,0.196539994,0
0.243,0.208990011,0
0.244,0.216013098,0
0.245,0.217609254,0
0.246,0.213140017,0
0.247,0.204201543,0
0.248,0.191113063,0
0.249,0.175789965,0
0.25,0.159509173,0
0.251,0.144505306,0
0.252,0.13237452,0
0.253,0.124712971,0
0.254,0.122159121,0
0.255,0.125351434,0
0.256,0.133970676,0
0.257,0.147059156,0
0.258,0.164297641,0
0.259,0.183451514,0
0.26,0.202924618,0
0.261,0.221440028,0
0.262,0.236763127,0
0.263,0.247616988,0
0.264,0.253043918,0
0.265,0.253043918,0
0.266,0.247297757,0
0.267,0.236763127,0
0.268,0.222397722,0
0.269,0.205478468,0
0.27,0.187920751,0
0.271,0.171320728,0
0.272,0.157913017,0
0.273,0.148655312,0
0.274,0.144505306,0
0.275,0.146420694,0
0.276,0.15344378,0
0.277,0.165255335,0
0.278,0.180897664,0
0.279,0.19813615,0
0.28,0.216013098,0
0.281,0.232613121,0
0.282,0.246340063,0
0.283,0.255597768,0
0.284,0.259428543,0
0.285,0.257832387,0
0.286,0.2508093,0
0.287,0.238997745,0
0.288,0.223674647,0
0.289,0.206436161,0
0.29,0.188878445,0
0.291,0.172597653,0
0.292,0.159509173,0
0.293,0.150570699,0
0.294,0.146739925,0
0.295,0.148336081,0
0.296,0.155039936,0
0.297,0.165893797,0
0.298,0.180259202,0
0.299,0.196220763,0
0.3,0.211863092,0
0.301,0.225909265,0
0.302,0.236443895,0
0.303,0.241870826,0
0.304,0.242190057,0
0.305,0.237082358,0
0.306,0.226228497,0
0.307,0.210905398,0
0.308,0.192389988,0
0.309,0.172278422,0
0.31,0.152166855,0
0.311,0.133970676,0
0.312,0.119286041,0
0.313,0.109389873,0
0.314,0.105239867,0
0.315,0.106516792,0
0.316,0.113220647,0
0.317,0.124074509,0
0.318,0.138120682,0
0.319,0.153763011,0
0.32,0.16908611,0
0.321,0.182493821,0
0.322,0.192389988,0
0.323,0.197497687,0
0.324,0.196859225,0
0.325,0.190793832,0
0.326,0.178982277,0
0.327,0.163339948,0
0.328,0.144186075,0
0.329,0.124074509,0
0.33,0.103962942,0
0.331,0.086085994,0
0.332,0.07172059,0
0.333,0.062462885,0
0.334,0.058312879,0
0.335,0.060547497,0
0.336,0.067889815,0
0.337,0.07970137,0
0.338,0.094705237,0
0.339,0.110986029,0
0.34,0.126628358,0
0.341,0.139716838,0
0.342,0.148655312,0
0.343,0.152486087,0
0.344,0.150570699,0
0.345,0.14290915,0
0.346,0.130459133,0
0.347,0.113539879,0
0.348,0.094066775,0
