sec,mV,BPM
0.075,-0.227710798,0
0.076,-0.225476583,0
0.077,-0.219731458,0
0.078,-0.210794597,0
0.079,-0.200261868,0
0.08,-0.188452445,0
0.081,-0.177281369,0
0.082,-0.167067813,0
0.083,-0.159088473,0
0.084,-0.154300869,0
0.085,-0.152385827,0
0.086,-0.154300869,0
0.087,-0.159088473,0
0.088,-0.166429466,0
0.089,-0.175685501,0
0.09,-0.185260709,0
0.091,-0.194835917,0
0.092,-0.202815257,0
0.093,-0.208879555,0
0.094,-0.211752118,0
0.095,-0.211432944,0
0.096,-0.207602861,0
0.097,-0.200581042,0
0.098,-0.191005834,0
0.099,-0.179834757,0
0.1,-0.168344508,0
0.101,-0.157492605,0
0.102,-0.148555744,0
0.103,-0.141853098,0
0.104,-0.138661362,0
0.105,-0.138980536,0
0.106,-0.142491446,0
0.107,-0.149513265,0
0.108,-0.158769299,0
0.109,-0.169621202,0
0.11,-0.180792278,0
0.111,-0.191325007,0
0.112,-0.199942695,0
0.113,-0.206326167,0
0.114,-0.209517903,0
0.115,-0.209198729,0
0.116,-0.205049472,0
0.117,-0.197708479,0
0.118,-0.188133271,0
0.119,-0.176643021,0
0.12,-0.164833598,0
0.121,-0.153981695,0
0.122,-0.144725661,0
0.123,-0.138023015,0
0.124,-0.134831279,0
0.125,-0.135150453,0
0.126,-0.138980536,0
0.127,-0.146002355,0
0.128,-0.15525839,0
0.129,-0.166110292,0
0.13,-0.177281369,0
0.131,-0.187494924,0
0.132,-0.196112611,0
0.133,-0.201857736,0
0.134,-0.204730299,0
0.135,-0.203772778,0
0.136,-0.199623521,0
0.137,-0.191963354,0
0.138,-0.182068973,0
0.139,-0.170897896,0
0.14,-0.159088473,0
0.141,-0.148236571,0
0.142,-0.139618883,0
0.143,-0.133235411,0
0.144,-0.130682022,0
0.145,-0.131639543,0
0.146,-0.136107974,0
0.147,-0.143448966,0
0.148,-0.153024175,0
0.149,-0.163876077,0
0.15,-0.17472798,0
0.151,-0.184622361,0
0.152,-0.192920875,0
0.153,-0.198666,0
0.154,-0.200900215,0
0.155,-0.199623521,0
0.156,-0.19515509,0
0.157,-0.187814098,0
0.158,-0.178238889,0
0.159,-0.16770616,0
0.16,-0.157173431,0
0.161,-0.147917397,0
0.162,-0.14025723,0
0.163,-0.135469626,0
0.164,-0.134192932,0
0.165,-0.136427147,0
0.166,-0.141853098,0
0.167,-0.150151612,0
0.168,-0.160684341,0
0.169,-0.171855417,0
0.17,-0.183026493,0
0.171,-0.193240049,0
0.172,-0.200900215,0
0.173,-0.206006993,0
0.174,-0.207283687,0
0.175,-0.205368646,0
0.176,-0.199942695,0
0.177,-0.191644181,0
0.178,-0.181430625,0
0.179,-0.170578723,0
0.18,-0.15972682,0
0.181,-0.150151612,0
0.182,-0.142810619,0
0.183,-0.138342189,0
0.184,-0.137384668,0
0.185,-0.139938057,0
0.186,-0.145683182,0
0.187,-0.154300869,0
0.188,-0.164514424,0
0.189,-0.175366327,0
0.19,-0.18621823,0
0.191,-0.195474264,0
0.192,-0.202496083,0
0.193,-0.206964514,0
0.194,-0.207922035,0
0.195,-0.205049472,0
0.196,-0.199304347,0
0.197,-0.190367486,0
0.198,-0.180153931,0
0.199,-0.168982855,0
0.2,-0.158130952,0
0.201,-0.149194091,0
0.202,-0.142810619,0
0.203,-0.13929971,0
0.204,-0.139618883,0
0.205,-0.143129793,0
0.206,-0.149832439,0
0.207,-0.159088473,0
0.208,-0.170259549,0
0.209,-0.181430625,0
0.21,-0.192601702,0
0.211,-0.20217691,0
0.212,-0.209517903,0
0.213,-0.21366716,0
0.214,-0.21462468,0
