sec,mV,BPM
0,0.007218428,0
0.001,0.007218428,0
0.002,0.007218428,0
0.003,0.006260821,0
0.004,0.003707202,0
0.005,-0.000123227,0
0.006,-0.006188073,0
0.007,-0.01384893,0
0.008,-0.023425003,0
0.009,-0.034597087,0
0.01,-0.046088373,0
0.011,-0.057898862,0
0.012,-0.069070947,0
0.013,-0.079285424,0
0.014,-0.087584686,0
0.015,-0.093649532,0
0.016,-0.097799163,0
0.017,-0.099075973,0
0.018,-0.097479961,0
0.019,-0.093011127,0
0.02,-0.085669472,0
0.021,-0.076093399,0
0.022,-0.064921315,0
0.023,-0.052791624,0
0.024,-0.04034273,0
0.025,-0.028532241,0
0.026,-0.017998562,0
0.027,-0.009380097,0
0.028,-0.003315251,0
0.029,-0.000123227,0
0.03,0.000195976,0
0.031,-0.002357644,0
0.032,-0.007784085,0
0.033,-0.014806538,0
0.034,-0.023425003,0
0.035,-0.032043467,0
0.036,-0.040023528,0
0.037,-0.046407576,0
0.038,-0.050876409,0
0.039,-0.052791624,0
0.04,-0.051834017,0
0.041,-0.048641993,0
0.042,-0.043215552,0
0.043,-0.036193099,0
0.044,-0.028213039,0
0.045,-0.020232978,0
0.046,-0.012572121,0
0.047,-0.006188073,0
0.048,-0.002038441,0
0.049,-0.000123227,0
0.05,-0.001080834,0
0.051,-0.004911263,0
0.052,-0.011295311,0
0.053,-0.019275371,0
0.054,-0.028532241,0
0.055,-0.037789111,0
0.056,-0.046088373,0
0.057,-0.052791624,0
0.058,-0.057260458,0
0.059,-0.05885647,0
0.06,-0.05757966,0
0.061,-0.053110826,0
0.062,-0.046407576,0
0.063,-0.037789111,0
0.064,-0.028213039,0
0.065,-0.017998562,0
0.066,-0.008422489,0
0.067,-0.000123227,0
0.068,0.005941619,0
0.069,0.009452845,0
0.07,0.01009125,0
0.071,0.008176036,0
0.072,0.004026404,0
0.073,-0.002038441,0
0.074,-0.009060894,0
0.075,-0.016083347,0
0.076,-0.022148193,0
0.077,-0.026936229,0
0.078,-0.029170646,0
0.079,-0.028851443,0
0.08,-0.025340217,0
0.081,-0.018956169,0
0.082,-0.010018501,0
0.083,0.000515178,0
0.084,0.011687262,0
0.085,0.023816954,0
0.086,0.034989038,0
0.087,0.04456511,0
0.088,0.051587563,0
0.089,0.056056397,0
0.09,0.057333206,0
0.091,0.055417992,0
0.092,0.050949158,0
0.093,0.04456511,0
0.094,0.036904252,0
0.095,0.029243394,0
0.096,0.021901739,0
0.097,0.015836893,0
0.098,0.012325667,0
0.099,0.01136806,0
0.1,0.013283274,0
0.101,0.01807131,0
0.102,0.025732168,0
0.103,0.034989038,0
0.104,0.045522717,0
0.105,0.056375599,0
0.106,0.066270874,0
0.107,0.074570136,0
0.108,0.080954184,0
0.109,0.084146208,0
0.11,0.084784613,0
0.111,0.082230994,0
