Time,"CH 1, ECG","CH40, Heart Rate"
sec,mV,BPM
0,0.006591623,0
0.001,0.006591623,0
0.002,0.006591623,0
0.003,0.005953179,0
0.004,0.005633958,0
0.005,0.005953179,0
0.006,0.007549287,0
0.007,0.011060725,0
0.008,0.017125936,0
0.009,0.026064141,0
0.01,0.037236897,0
0.011,0.050324983,0
0.012,0.065328399,0
0.013,0.081289479,0
0.014,0.097569781,0
0.015,0.11321164,0
0.016,0.127576613,0
0.017,0.140026255,0
0.018,0.149602904,0
0.019,0.156306557,0
0.02,0.159817995,0
0.021,0.159817995,0
0.022,0.155987336,0
0.023,0.14896446,0
0.024,0.139068591,0
0.025,0.126938169,0
0.026,0.113530862,0
0.027,0.099804333,0
0.028,0.086397025,0
0.029,0.074905047,0
0.03,0.06564762,0
0.031,0.05958241,0
0.032,0.057028637,0
0.033,0.057986302,0
0.034,0.062455404,0
0.035,0.070116723,0
0.036,0.079693371,0
0.037,0.090546906,0
0.038,0.101719662,0
0.039,0.111934754,0
0.04,0.120872959,0
0.041,0.127257391,0
0.042,0.130449607,0
0.043,0.130768829,0
0.044,0.127576613,0
0.045,0.121830624,0
0.046,0.113850083,0
0.047,0.104273435,0
0.048,0.094696787,0
0.049,0.08543936,0
0.05,0.078097263,0
0.051,0.072989717,0
0.052,0.071074388,0
0.053,0.072032053,0
0.054,0.075862712,0
0.055,0.082247144,0
0.056,0.090227684,0
0.057,0.099485111,0
0.058,0.108742538,0
0.059,0.117361521,0
0.06,0.124384397,0
0.061,0.129172721,0
0.062,0.13108805,0
0.063,0.129811164,0
0.064,0.125980505,0
0.065,0.119915294,0
0.066,0.112253975,0
0.067,0.103634992,0
0.068,0.095654452,0
0.069,0.088312355,0
0.07,0.083204809,0
0.071,0.080331814,0
0.072,0.080651036,0
0.073,0.083843252,0
0.074,0.089908463,0
0.075,0.098527446,0
0.076,0.109061759,0
0.077,0.120234516,0
0.078,0.131407272,0
0.079,0.141303142,0
0.08,0.149602904,0
0.081,0.154710449,0
0.082,0.156945001,0
0.083,0.155987336,0
0.084,0.152156677,0
0.085,0.145772244,0
0.086,0.138110926,0
0.087,0.129491942,0
0.088,0.12119218,0
0.089,0.113850083,0
0.09,0.108742538,0
0.091,0.105869543,0
0.092,0.106188765,0
0.093,0.109380981,0
0.094,0.115446191,0
0.095,0.123745953,0
0.096,0.133322602,0
0.097,0.143856915,0
0.098,0.154072006,0
0.099,0.163329433,0
0.1,0.17067153,0
0.101,0.175140632,0
0.102,0.177055962,0
0.103,0.176098297,0
0.104,0.17258686,0
0.105,0.166840871,0
0.106,0.160137217,0
0.107,0.15279512,0
0.108,0.145772244,0
0.109,0.140026255,0
0.11,0.136834039,0
0.111,0.136195596,0
0.112,0.138749369,0
0.113,0.144176136,0
0.114,0.152475898,0
0.115,0.163010211,0
0.116,0.174821411,0
0.117,0.186951832,0
0.118,0.198763032,0
0.119,0.208978123,0
0.12,0.217277885,0
0.121,0.222704652,0
0.122,0.224939203,0
0.123,0.224619982,0
0.124,0.221746987,0
0.125,0.216958663,0
0.126,0.211212674,0
0.127,0.205147464,0
0.128,0.199720696,0
0.129,0.195570815,0
0.13,0.193336264,0
0.131,0.193655486,0
0.132,0.196847702,0
0.133,0.202274469,0
0.134,0.210255009,0
0.135,0.219512436,0
0.136,0.229089084,0
0.137,0.238665733,0
0.138,0.246646273,0
0.139,0.253030705,0
0.14,0.256542143,0
0.141,0.256861364,0
